"Provider number","Network","Facility name","Address line 1","Address line 2","City","State","Zip","County","Phone number","Profit or Non-Profit","Chain owned","Chain organization","ICH-CAHPS date","ICH-CAHPS data availability code","Lower box percent of patients nephrologists’ communication and caring","Middle box percent of patients nephrologists’ communication and caring","Top box percent of patients nephrologists’ communication and caring","Linearized score of Nephrologists’ communication and caring","Star rating of Nephrologists' communication and caring","Lower box percent of patients-quality of dialysis center care and operations","Middle box percent of patients-quality of dialysis center care and operations","Top box percent of patients-quality of dialysis center care and operations","Linearized score of quality of dialysis center care and operations","Star rating of quality of dialysis center care and operations","Lower box percent of patients-providing information to patients","Top box percent of patients providing information to patients","Linearized score of providing information to patients","Star rating of providing information to patients","Lower box percent of patients-rating of the nephrologist","Middle box percent of patients- rating of the nephrologist","Top box percent of patients- rating of the nephrologist","Linearized score of rating of the nephrologist","Star rating of the nephrologist","Lower box percent of patients-rating of the dialysis center staff","Middle box percent of patients-rating of the dialysis center staff","Top box percent of patients-rating of the dialysis center staff","Linearized score of rating of the dialysis center staff","Star rating of the dialysis center staff","Lower box percent of patients-rating of the dialysis facility","Middle box percent of patients-rating of the dialysis facility","Top box percent of patients-rating of the dialysis facility","Linearized score of rating of the dialysis facility","Star rating of the dialysis facility","Total number of completed interviews from the Fall and Spring Surveys","ICH CAHPS Quality of patient care star rating"
"442699","08","NASHVILLE HOME TRAINING DIALYSIS","1919 CHARLOTTE AVE","STE 200","NASHVILLE","TN","37203","DAVIDSON","(615) 329-1162","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"442700","08","KINGSTON DIALYSIS","1208 N KENTUCKY ST","","KINGSTON","TN","37763","ROANE","(865) 248-8006","Profit","No","INDEPENDENT","04/21/2017 - 01/17/2018","102","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"442701","08","FMC EAST MEMPHIS HOME THERAPIES","6490 MT. MORIAH EXT","SUITE 201","MEMPHIS","TN","38115","SHELBY","(901) 366-2168","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"442702","08","FMC MT MORIAH DIALYSIS","6490 MT MORIAH","SUITE 102","MEMPHIS","TN","38115","SHELBY","(901) 547-6401","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","001","38","10","52","65","1","28","19","53","73","2","40","60","60","1","40","21","39","68","1","24","30","46","78","2","24","25","51","80","1","40","1"
"442703","08","FMC BARTLETT","3348 N GERMANTOWN RD","","MEMPHIS","TN","38133","SHELBY","(901) 379-2447","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"442704","08","MEMPHIS MIDTOWN DIALYSIS","3430 SUMMER AVE","","MEMPHIS","TN","38122","SHELBY","(901) 454-0815","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"442705","08","RAI LEBANON","1701 W. MAIN STREET","SUITE 101","LEBANON","TN","37087","WILSON","(615) 449-5651","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"442707","08","FMC CEDAR BLUFF","431 PARK 40 NORTH BLVD","","KNOXVILLE","TN","37923","KNOX","(865) 690-7517","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"442708","08","DAVITA SPARTA","150 SAM WALTON DR","SUITE 800","SPARTA","TN","38583","WHITE","(931) 739-3550","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"442709","08","DAVITA WOLF RIVER DIALYSIS","7990 TRINITY ROAD","SUITE 101","CORDOVA","TN","38018","SHELBY","(901) 751-3120","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","001","19","18","63","80","3","16","24","60","81","4","12","88","88","5","16","23","61","86","4","11","37","52","83","3","15","25","60","86","3","41","4"
"442710","08","DAVITA STATE LINE","2049 E SHELBY DRIVE","","MEMPHIS","TN","38119","SHELBY","(901) 348-1931","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","001","46","11","43","60","1","41","15","44","65","1","29","71","71","1","29","37","34","74","1","21","41","38","76","1","27","34","39","74","1","46","1"
"442711","08","ISD BARTLETT LLC","2920 COVINGTON PIKE","","MEMPHIS","TN","38128","SHELBY","(901) 248-6020","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","001","28","12","60","73","1","29","14","57","72","2","22","78","78","3","25","25","50","77","1","27","35","38","71","1","23","27","50","77","1","36","2"
"442712","08","FMC HENDERSONVILLE","230 NEW SHACKLE ISLAND ROAD","SUITE 200","HENDERSONVILLE","TN","37075","SUMNER","(615) 826-5848","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"442713","08","KIDNEY CENTER OF HWY 58","4803 HWY 58","SUITE B","CHATTANOOGA","TN","37416","HAMILTON","(423) 468-3178","Profit","No","INDEPENDENT","04/21/2017 - 01/17/2018","001","15","15","70","84","4","21","27","52","75","3","15","85","85","4","0","41","59","91","4","14","25","61","85","3","12","27","61","85","3","32","4"
"442714","08","DAVITA SOUTH JACKSON","46 HARTS BRIDGE ROAD","","JACKSON","TN","38301","MADISON","(731) 422-9568","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","001","52","10","38","57","1","34","12","54","69","1","26","74","74","2","41","28","31","68","1","19","35","46","78","2","26","14","60","77","1","47","1"
"442715","08","TOTAL RENAL CARE, INC.","109 GRADY RD","","ETOWAH","TN","37331","MCMINN","(423) 263-3666","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"442716","08","SANDLIN DIALYSIS, LLC","110 HERITAGE COURT","","GREENEVILLE","TN","37743","GREENE","(423) 639-2110","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","001","16","13","71","84","4","11","17","72","87","5","9","91","91","5","4","26","70","91","4","0","14","86","94","5","3","2","95","96","5","32","5"
"442717","08","DIALYSIS ASSOCIATE, LLC","5214 HICKORY HOLLOW PARKWAY","","ANTIOCH","TN","37013","DAVIDSON","(615) 731-6368","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"442718","08","BIO-MEDICAL APPLICATIONS OF TENNESSEE, INC.","6055 PRIMACY PARKWAY","SUITE 125","MEMPHIS","TN","38119","SHELBY","(901) 681-4010","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"442719","08","KIDNEY CENTER OF MISSIONARY RIDGE, LLC","3810 BRAINERD ROAD","","CHATTANOOGA","TN","37411","HAMILTON","(423) 486-9510","Profit","Yes","KIDNEY CENTER, INC.","04/21/2017 - 01/17/2018","001","14","13","73","85","4","15","13","72","85","4","13","87","87","5","9","15","76","90","4","5","14","81","93","5","6","6","88","94","5","51","5"
"442720","08","FRESENIUS MEDICAL CARE BARTLETT HOME, LLC","1533 BONNIE LANE, SUITE 101","","CORDOVA","TN","38016","SHELBY","(901) 624-3833","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","102","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"442721","08","TANNOR DIALYSIS LLC","111 S CAMPBELL STATION RD","","KNOXVILLE","TN","37934","KNOX","(865) 777-2750","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"442722","08","DSI MEMPHIS LLC","4711 NEELY ROAD","","MEMPHIS","TN","38109","SHELBY","(901) 789-2290","Profit","Yes","DIVERSIFIED SPECIALTY INSTITUTES (DSI)","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"442723","08","BIO-MEDICAL APPLICATIONS OF TENNESSEE, INC.","2519 E MAGNOLIA AVE","","KNOXVILLE","TN","37914","KNOX","(865) 633-6052","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"442724","08","FMC SUMMER","4569 SUMMER AVE","SUITE 102","MEMPHIS","TN","38122","SHELBY","(901) 767-0118","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
